S/N,REGION,DISTRICT,YEAR,CROP,AREA (HA),YIELD (MT/HA),PRODUCTION (MT)
7572,UPPER WEST,JIRAPA-LAMBUSSIE,2007,YAM,925.16,11.87,10977.49
7573,UPPER WEST,NADOWLI,2007,YAM,5070.52,8.67,43961.41
7574,UPPER WEST,WA WEST,2007,SOYABEAN,4065.36,0.85,3439.29
7575,UPPER WEST,WA EAST,2007,SOYABEAN,3995.34,0.78,3100.38
7576,UPPER WEST,WA MUNICIPAL,2007,SOYABEAN,4049.4,0.77,3109.94
7577,UPPER WEST,LAWRA,2007,SOYABEAN,150.0,0.95,142.5
7578,UPPER WEST,SISSALA EAST,2007,SOYABEAN,142.1,0.95,135.0
7579,UPPER WEST,SISSALA WEST,2007,SOYABEAN,151.98,0.77,116.72
7580,UPPER WEST,NADOWLI,2007,SOYABEAN,633.45,1.0,633.45
7581,WESTERN,SHAMA AHANTA EAST,2007,COCOYAM,67.0,3.9,261.3
7582,WESTERN,WEST AHANTA,2007,COCOYAM,200.0,4.42,884.0
7583,WESTERN,MPORHOR WASSA EAST,2007,COCOYAM,1650.0,4.63,7639.5
7584,WESTERN,WASSA WEST,2007,COCOYAM,650.0,4.84,3146.0
7585,WESTERN,EAST NZEMA,2007,COCOYAM,135.0,4.34,585.9
7586,WESTERN,JOMORO,2007,COCOYAM,90.0,3.5,315.0
7587,WESTERN,AMENFI EAST,2007,COCOYAM,1120.0,5.9,6608.0
7588,WESTERN,AMENFI  WEST (WASSA AMENFI),2007,COCOYAM,900.0,6.1,5490.0
7589,WESTERN,AOWIN -SUAMAN,2007,COCOYAM,5146.0,6.0,30876.0
7590,WESTERN,BIBIANI-ANHWIASO-BEKWAI,2007,COCOYAM,8300.0,6.0,49800.0
7591,WESTERN,SEFWI-WIAWSO,2007,COCOYAM,11120.0,6.15,68388.0
7592,WESTERN,BIA,2007,COCOYAM,5162.0,6.4,33036.8
7593,WESTERN,JUABESO,2007,COCOYAM,6800.0,6.45,43860.0
7594,WESTERN,SHAMA AHANTA EAST,2007,PLANTAIN,300.0,9.1,2730.0
7595,WESTERN,WEST AHANTA,2007,PLANTAIN,295.0,6.0,1770.0
7596,WESTERN,MPORHOR WASSA EAST,2007,PLANTAIN,1705.0,9.1,15515.5
7597,WESTERN,WASSA WEST,2007,PLANTAIN,1205.0,7.2,8676.0
7598,WESTERN,EAST NZEMA,2007,PLANTAIN,320.0,10.1,3232.0
7599,WESTERN,JOMORO,2007,PLANTAIN,300.0,10.5,3150.0
7600,WESTERN,AMENFI EAST,2007,PLANTAIN,4770.0,10.6,50562.0
7601,WESTERN,AMENFI  WEST (WASSA AMENFI),2007,PLANTAIN,4400.0,10.0,44000.0
7602,WESTERN,AOWIN -SUAMAN,2007,PLANTAIN,8120.0,10.6,86072.0
7603,WESTERN,BIBIANI-ANHWIASO-BEKWAI,2007,PLANTAIN,9150.0,10.3,94245.0
7604,WESTERN,SEFWI-WIAWSO,2007,PLANTAIN,10780.0,9.7,104566.0
7605,WESTERN,BIA,2007,PLANTAIN,6085.0,9.8,59633.0
7606,WESTERN,JUABESO,2007,PLANTAIN,6859.0,10.0,68590.0
7607,CENTRAL,UPPER DENKYIRA,2007,COCOYAM,5097.0,6.02,30683.94
7608,CENTRAL,TWIFO HERMAN LOWER DENKYIRA,2007,COCOYAM,1850.0,5.4,9990.0
7609,CENTRAL,ASSIN SOUTH,2007,COCOYAM,1200.0,4.4,5280.0
7610,CENTRAL,ASSIN NORTH,2007,COCOYAM,2010.0,4.4,8844.0
7611,CENTRAL,ABURA-ASEBU-KWAMANKESE,2007,COCOYAM,750.0,4.3,3225.0
7612,CENTRAL,ASIKUMA-ODOBEN-BRAKWA,2007,COCOYAM,15.0,4.3,64.5
7613,CENTRAL,AJUMAKO-ENYAN-ESIAM,2007,COCOYAM,1200.0,5.0,6000.0
7614,CENTRAL,CAPE COAST,2007,COCOYAM,539.0,4.21,2269.19
7615,CENTRAL,AGONA,2007,COCOYAM,2775.0,7.25,20118.75
7616,CENTRAL,UPPER DENKYIRA,2007,PLANTAIN,5273.0,7.01,36963.73
7617,CENTRAL,TWIFO HERMAN LOWER DENKYIRA,2007,PLANTAIN,1655.0,12.1,20025.5
7618,CENTRAL,ASSIN SOUTH,2007,PLANTAIN,1150.0,8.7,10005.0
7619,CENTRAL,ASSIN NORTH,2007,PLANTAIN,1560.0,5.8,9048.0
7620,CENTRAL,ABURA-ASEBU-KWAMANKESE,2007,PLANTAIN,1010.0,5.1,5151.0
7621,CENTRAL,ASIKUMA-ODOBEN-BRAKWA,2007,PLANTAIN,316.0,8.5,2686.0
7622,CENTRAL,MFANTSIMAN,2007,PLANTAIN,263.0,5.0,1315.0
7623,CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,2007,PLANTAIN,403.0,5.8,2337.4
7624,CENTRAL,AJUMAKO-ENYAN-ESIAM,2007,PLANTAIN,435.0,10.81,4702.35
7625,CENTRAL,GOMOA,2007,PLANTAIN,50.0,6.0,300.0
7626,CENTRAL,CAPE COAST,2007,PLANTAIN,134.0,7.35,984.9
7627,CENTRAL,AGONA,2007,PLANTAIN,2652.0,13.5,35802.0
7628,EASTERN,BIRIM SOUTH,2007,COCOYAM,7944.0,7.83,62185.63
7629,EASTERN,WEST AKIM,2007,COCOYAM,8105.0,7.58,61395.38
7630,EASTERN,SUHUM KRABOA COALTAR,2007,COCOYAM,2594.0,7.14,18521.16
7631,EASTERN,AKUAPIM SOUTH,2007,COCOYAM,1037.0,7.7,7984.9
7632,EASTERN,AKUAPIM NORTH,2007,COCOYAM,1048.0,7.8,8174.4
7633,EASTERN,NEW JUABEN,2007,COCOYAM,994.0,7.5,7455.0
7634,EASTERN,YILO KROBO,2007,COCOYAM,1403.0,8.15,11431.64
7635,EASTERN,EAST AKIM,2007,COCOYAM,2400.0,7.96,19094.4
7636,EASTERN,ATIWA,2007,COCOYAM,5125.0,7.4,37925.0
7637,EASTERN,KWAEBIBIREM,2007,COCOYAM,6179.0,7.73,47732.78
7638,EASTERN,BIRIM NORTH,2007,COCOYAM,2594.0,7.96,20637.86
7639,EASTERN,KWAHU WEST,2007,COCOYAM,1155.0,7.6,8778.0
7640,EASTERN,KWAHU WEST,2007,COCOYAM,1344.0,7.28,9777.6
7641,EASTERN,FANTEAKWA,2007,COCOYAM,9147.0,8.1,74090.7
7642,EASTERN,AFRAM PLAINS,2007,COCOYAM,535.0,7.5,4012.5
7643,EASTERN,ASUOGYAMAN,2007,COCOYAM,508.0,7.7,3911.6
7644,EASTERN,MANYA KROBO,2007,COCOYAM,454.0,8.48,3851.74
7645,EASTERN,BIRIM SOUTH,2007,PLANTAIN,9828.0,9.65,94795.97
7646,EASTERN,WEST AKIM,2007,PLANTAIN,7594.0,9.8,74421.2
7647,EASTERN,SUHUM KRABOA COALTAR,2007,PLANTAIN,10202.0,9.85,100464.2
7648,EASTERN,AKUAPIM SOUTH,2007,PLANTAIN,2224.0,10.2,22687.02
7649,EASTERN,AKUAPIM NORTH,2007,PLANTAIN,1568.0,9.5,14902.27
7650,EASTERN,NEW JUABEN,2007,PLANTAIN,756.0,10.2,7711.2
7651,EASTERN,YILO KROBO,2007,PLANTAIN,803.0,9.9,7949.7
7652,EASTERN,EAST AKIM,2007,PLANTAIN,3815.0,9.85,37568.21
7653,EASTERN,ATIWA,2007,PLANTAIN,6650.0,9.75,64847.48
7654,EASTERN,KWAEBIBIREM,2007,PLANTAIN,6746.0,9.76,65850.4
7655,EASTERN,BIRIM NORTH,2007,PLANTAIN,5928.0,9.6,56926.58
7656,EASTERN,KWAHU WEST,2007,PLANTAIN,1966.0,9.4,18480.4
7657,EASTERN,KWAHU WEST,2007,PLANTAIN,4374.0,9.9,43302.6
7658,EASTERN,FANTEAKWA,2007,PLANTAIN,13467.0,10.02,134923.18
7659,EASTERN,AFRAM PLAINS,2007,PLANTAIN,796.0,8.6,6845.6
7660,EASTERN,ASUOGYAMAN,2007,PLANTAIN,1643.0,8.97,14739.85
7661,EASTERN,MANYA KROBO,2007,PLANTAIN,800.0,9.8,7837.6
7662,VOLTA,NORTH DAYI (KPANDO),2007,COCOYAM,90.0,5.5,495.0
7663,VOLTA,SOUTH DAYI,2007,COCOYAM,100.0,4.3,430.0
7664,VOLTA,HOHOE MUNICIPAL,2007,COCOYAM,250.0,3.0,750.0
7665,VOLTA,JASIKAN,2007,COCOYAM,2025.0,9.0,18225.0
7666,VOLTA,KADJEBI,2007,COCOYAM,2100.0,7.0,14700.0
7667,VOLTA,NKWANTA,2007,COCOYAM,350.0,4.5,1575.0
7668,VOLTA,KRACHI WEST,2007,COCOYAM,120.0,2.5,300.0
7669,VOLTA,KRACHI EAST,2007,COCOYAM,130.0,4.8,624.0
7670,VOLTA,HO MUNICIPAL,2007,COCOYAM,440.0,3.5,1540.0
7671,VOLTA,ADAKLU ANYIGBE,2007,COCOYAM,60.0,4.5,270.0
7672,VOLTA,NORTH DAYI (KPANDO),2007,PLANTAIN,175.0,5.6,980.0
7673,VOLTA,SOUTH DAYI,2007,PLANTAIN,170.0,5.92,1006.4
7674,VOLTA,HOHOE MUNICIPAL,2007,PLANTAIN,255.0,6.6,1683.0
7675,VOLTA,JASIKAN,2007,PLANTAIN,2550.0,7.3,18615.0
7676,VOLTA,KADJEBI,2007,PLANTAIN,2110.0,7.1,14981.0
7677,VOLTA,NKWANTA,2007,PLANTAIN,340.0,6.2,2108.0
7678,VOLTA,KRACHI WEST,2007,PLANTAIN,170.0,5.6,952.0
7679,VOLTA,KRACHI EAST,2007,PLANTAIN,250.0,4.8,1200.0
7680,VOLTA,HO MUNICIPAL,2007,PLANTAIN,263.0,9.55,2511.65
7681,VOLTA,ADAKLU ANYIGBE,2007,PLANTAIN,85.0,4.9,416.5
7682,VOLTA,NKWANTA,2007,SORGHUM,1650.0,1.24,2046.0
7683,VOLTA,KRACHI WEST,2007,SORGHUM,2410.0,1.03,2482.3
7684,VOLTA,KRACHI EAST,2007,SORGHUM,1210.0,1.02,1234.2
7685,ASHANTI,BEKWAI MUNI (AMANSIE EAST),2007,COCOYAM,11650.0,5.5,64075.0
7686,ASHANTI,AMANSIE CENTRAL,2007,COCOYAM,2005.0,7.5,15037.5
7687,ASHANTI,AMANSIE WEST,2007,COCOYAM,1484.0,7.23,10729.32
7688,ASHANTI,EJURA SEKYEREDUMASE,2007,COCOYAM,87.0,4.48,389.76
7689,ASHANTI,SEKYERE WEST,2007,COCOYAM,2712.0,6.54,17736.48
7690,ASHANTI,SEKYERE EAST,2007,COCOYAM,4711.0,6.6,31092.6
7691,ASHANTI,AFIGYA SEKYERE,2007,COCOYAM,4642.0,6.7,31101.4
7692,ASHANTI,AHAFO ANO NORTH,2007,COCOYAM,2350.0,6.8,15980.0
7693,ASHANTI,AHAFO ANO SOUTH,2007,COCOYAM,12832.0,6.7,85974.4
7694,ASHANTI,ATWIMA MPONUA,2007,COCOYAM,7545.0,5.62,42402.9
7695,ASHANTI,ATWIMA NWABIAGYA,2007,COCOYAM,7031.0,5.6,39373.6
7696,ASHANTI,EJUSU JUABEN,2007,COCOYAM,3134.0,6.75,21154.5
7697,ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2007,COCOYAM,1324.0,6.9,9135.6
7698,ASHANTI,KWABRE,2007,COCOYAM,3916.0,6.53,25571.48
7699,ASHANTI,OFFINSO,2007,COCOYAM,2070.0,5.8,12006.0
7700,ASHANTI,ADANSI NORTH,2007,COCOYAM,1402.0,5.56,7795.12
7701,ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),2007,COCOYAM,755.0,6.2,4681.0
7702,ASHANTI,ADANSI  SOUTH,2007,COCOYAM,3217.0,6.62,21296.54
7703,ASHANTI,ASANTE AKIM NORTH,2007,COCOYAM,1789.0,7.31,13077.59
7704,ASHANTI,ASANTE AKIM SOUTH,2007,COCOYAM,11508.0,5.0,57540.0
7705,ASHANTI,KUMASI METROPOLITAN ASSEMBLY,2007,COCOYAM,21.0,5.6,117.6
7706,ASHANTI,BEKWAI MUNI (AMANSIE EAST),2007,PLANTAIN,6490.0,9.5,61655.0
7707,ASHANTI,AMANSIE CENTRAL,2007,PLANTAIN,4280.0,8.5,36380.0
7708,ASHANTI,AMANSIE WEST,2007,PLANTAIN,3004.0,9.4,28237.6
7709,ASHANTI,EJURA SEKYEREDUMASE,2007,PLANTAIN,688.0,8.46,5820.48
7710,ASHANTI,SEKYERE WEST,2007,PLANTAIN,3605.0,10.5,37852.5
7711,ASHANTI,SEKYERE EAST,2007,PLANTAIN,3174.0,11.4,36183.6
7712,ASHANTI,AFIGYA SEKYERE,2007,PLANTAIN,5273.0,8.54,45031.42
7713,ASHANTI,AHAFO ANO NORTH,2007,PLANTAIN,6356.0,10.15,64513.4
7714,ASHANTI,AHAFO ANO SOUTH,2007,PLANTAIN,6942.0,9.5,65949.0
7715,ASHANTI,ATWIMA MPONUA,2007,PLANTAIN,5934.0,9.45,56076.3
7716,ASHANTI,ATWIMA NWABIAGYA,2007,PLANTAIN,7360.0,9.53,70140.8
7717,ASHANTI,EJUSU JUABEN,2007,PLANTAIN,3321.0,9.65,32047.65
7718,ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2007,PLANTAIN,3205.0,9.49,30415.45
7719,ASHANTI,KWABRE,2007,PLANTAIN,2468.0,10.2,25173.6
7720,ASHANTI,OFFINSO,2007,PLANTAIN,5757.0,10.25,59009.25
7721,ASHANTI,ADANSI NORTH,2007,PLANTAIN,3953.0,9.68,38265.04
7722,ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),2007,PLANTAIN,1172.0,8.3,9727.6
7723,ASHANTI,ADANSI  SOUTH,2007,PLANTAIN,3434.0,10.2,35026.8
7724,ASHANTI,ASANTE AKIM NORTH,2007,PLANTAIN,3129.0,10.1,31602.9
7725,ASHANTI,ASANTE AKIM SOUTH,2007,PLANTAIN,8075.0,11.3,91247.5
7726,ASHANTI,KUMASI METROPOLITAN ASSEMBLY,2007,PLANTAIN,1205.0,8.95,10784.75
7727,ASHANTI,EJURA SEKYEREDUMASE,2007,GROUNDNUT,43562.0,1.45,63164.9
7728,BRONG AHAFO,SUNYANI MUNICIPAL,2007,COCOYAM,2131.07,5.17,11022.2
7729,BRONG AHAFO,ASUTIFI,2007,COCOYAM,13930.29,7.2,100329.54
7730,BRONG AHAFO,WENCHI MUNICIPAL,2007,COCOYAM,2698.6,5.37,14496.7
7731,BRONG AHAFO,DORMA AHENKRO,2007,COCOYAM,5016.1,5.52,27707.18
7732,BRONG AHAFO,BEREKUM,2007,COCOYAM,4851.3,6.68,32396.64
7733,BRONG AHAFO,TANO NORTH,2007,COCOYAM,2296.9,7.04,16160.3
7734,BRONG AHAFO,TANO SOUTH,2007,COCOYAM,2605.9,6.33,16487.76
7735,BRONG AHAFO,NKORANZA,2007,COCOYAM,710.7,5.51,3913.15
7736,BRONG AHAFO,TECHIMAN MUNICIPAL,2007,COCOYAM,3574.1,7.11,25416.71
7737,BRONG AHAFO,ASUNAFO NORTH,2007,COCOYAM,3790.4,7.23,27413.69
7738,BRONG AHAFO,ASUNAFO SOUTH,2007,COCOYAM,10271.4,7.23,74264.69
7739,BRONG AHAFO,JAMAN NORTH,2007,COCOYAM,1091.8,7.01,7655.59
7740,BRONG AHAFO,JAMAN SOUTH,2007,COCOYAM,2544.1,7.02,17871.03
7741,BRONG AHAFO,KINTAMPO NORTH,2007,COCOYAM,319.3,6.5,2074.13
7742,BRONG AHAFO,KINTAMPO SOUTH,2007,COCOYAM,523.24,6.48,3390.78
7743,BRONG AHAFO,SUNYANI MUNICIPAL,2007,PLANTAIN,3651.35,10.04,36670.51
7744,BRONG AHAFO,ASUTIFI,2007,PLANTAIN,16577.85,15.65,259416.16
7745,BRONG AHAFO,WENCHI MUNICIPAL,2007,PLANTAIN,999.1,7.53,7523.97
7746,BRONG AHAFO,DORMA AHENKRO,2007,PLANTAIN,2791.3,9.71,27113.52
7747,BRONG AHAFO,BEREKUM,2007,PLANTAIN,2430.8,9.94,24165.99
7748,BRONG AHAFO,TANO NORTH,2007,PLANTAIN,3646.2,11.51,41961.91
7749,BRONG AHAFO,TANO SOUTH,2007,PLANTAIN,3757.44,11.45,43019.01
7750,BRONG AHAFO,NKORANZA,2007,PLANTAIN,511.91,7.11,3638.56
7751,BRONG AHAFO,TECHIMAN MUNICIPAL,2007,PLANTAIN,7776.5,10.52,81783.9
7752,BRONG AHAFO,ASUNAFO NORTH,2007,PLANTAIN,7673.5,18.58,142598.57
7753,BRONG AHAFO,ASUNAFO SOUTH,2007,PLANTAIN,10338.11,18.58,192058.31
7754,BRONG AHAFO,JAMAN NORTH,2007,PLANTAIN,585.04,7.51,4395.26
7755,BRONG AHAFO,JAMAN SOUTH,2007,PLANTAIN,915.67,7.52,6884.69
7756,BRONG AHAFO,KINTAMPO NORTH,2007,PLANTAIN,35.02,7.51,263.02
7757,BRONG AHAFO,KINTAMPO SOUTH,2007,PLANTAIN,52.53,6.51,341.99
7758,UPPER EAST,BUILSA,2007,MILLET,11893.0,0.25,2973.25
7759,UPPER EAST,KASINA-NANKANA,2007,MILLET,11161.0,0.56,6250.16
7760,UPPER EAST,BOLGATANGA MUNICIPAL,2007,MILLET,7481.0,0.62,4638.22
7761,UPPER EAST,BAWKU MUNICIPAL,2007,MILLET,9907.0,0.54,5349.78
7762,UPPER EAST,BAWKU WEST,2007,MILLET,5890.0,0.55,3239.5
7763,UPPER EAST,BONGO,2007,MILLET,4660.0,0.33,1537.8
7764,UPPER EAST,GARU TEMPANE,2007,MILLET,6168.0,0.53,3269.04
7765,UPPER EAST,TALENSI NABDAM,2007,MILLET,3591.0,0.47,1687.77
7766,UPPER EAST,BUILSA,2007,SORGHUM,13153.0,0.53,6971.09
7767,UPPER EAST,KASINA-NANKANA,2007,SORGHUM,10892.0,0.33,3594.36
7768,UPPER EAST,BOLGATANGA MUNICIPAL,2007,SORGHUM,7895.0,0.54,4263.3
7769,UPPER EAST,BAWKU MUNICIPAL,2007,SORGHUM,9888.0,0.39,3856.32
7770,UPPER EAST,BAWKU WEST,2007,SORGHUM,4027.0,0.75,3020.25
7771,UPPER EAST,BONGO,2007,SORGHUM,5197.0,0.62,3222.14
7772,UPPER EAST,GARU TEMPANE,2007,SORGHUM,3746.0,0.69,2584.74
7773,UPPER EAST,TALENSI NABDAM,2007,SORGHUM,4482.0,0.59,2644.38
7774,UPPER EAST,BUILSA,2007,GROUNDNUT,13366.0,0.58,7752.28
7775,UPPER EAST,KASINA-NANKANA,2007,GROUNDNUT,20364.0,0.37,7534.68
7776,UPPER EAST,BOLGATANGA MUNICIPAL,2007,GROUNDNUT,11268.0,0.51,5746.68
7777,UPPER EAST,BAWKU MUNICIPAL,2007,GROUNDNUT,17446.0,0.43,7501.78
7778,UPPER EAST,BAWKU WEST,2007,GROUNDNUT,7986.0,0.67,5350.62
7779,UPPER EAST,BONGO,2007,GROUNDNUT,11074.0,0.5,5537.0
7780,UPPER EAST,GARU TEMPANE,2007,GROUNDNUT,12362.0,0.54,6675.48
7781,UPPER EAST,TALENSI NABDAM,2007,GROUNDNUT,4610.0,0.58,2673.8
7782,UPPER EAST,BUILSA,2007,COWPEA,11059.0,0.51,5640.09
7783,UPPER EAST,KASINA-NANKANA,2007,COWPEA,4075.0,0.42,1711.5
7784,UPPER EAST,BOLGATANGA MUNICIPAL,2007,COWPEA,3979.0,0.59,2347.61
7785,UPPER EAST,BAWKU MUNICIPAL,2007,COWPEA,7061.0,0.6,4236.6
7786,UPPER EAST,BAWKU WEST,2007,COWPEA,9856.0,0.52,5125.12
7787,UPPER EAST,BONGO,2007,COWPEA,2946.0,0.35,1031.1
7788,UPPER EAST,GARU TEMPANE,2007,COWPEA,2596.0,0.47,1220.12
7789,UPPER EAST,TALENSI NABDAM,2007,COWPEA,4005.0,0.58,2322.9
7790,UPPER WEST,WA WEST,2007,MILLET,6944.28,0.36,2499.94
7791,UPPER WEST,WA EAST,2007,MILLET,5878.04,0.48,2821.46
7792,UPPER WEST,WA MUNICIPAL,2007,MILLET,6852.48,1.04,7112.87
7793,UPPER WEST,LAWRA,2007,MILLET,10642.5,0.5,5319.12
7794,UPPER WEST,SISSALA EAST,2007,MILLET,4493.3,1.02,4576.43
7795,UPPER WEST,SISSALA WEST,2007,MILLET,4606.98,0.67,3093.59
7796,UPPER WEST,JIRAPA-LAMBUSSIE,2007,MILLET,10804.7,1.0,10804.7
7797,UPPER WEST,NADOWLI,2007,MILLET,9534.42,0.79,7532.19
7798,UPPER WEST,WA WEST,2007,SORGHUM,4403.14,0.85,3754.12
7799,UPPER WEST,WA EAST,2007,SORGHUM,3152.5,0.62,1954.55
7800,UPPER WEST,WA MUNICIPAL,2007,SORGHUM,4773.75,1.09,5179.52
7801,UPPER WEST,LAWRA,2007,SORGHUM,31282.2,0.84,26164.43
7802,UPPER WEST,SISSALA EAST,2007,SORGHUM,843.15,1.12,946.01
7803,UPPER WEST,SISSALA WEST,2007,SORGHUM,6975.64,0.66,4603.92
7804,UPPER WEST,JIRAPA-LAMBUSSIE,2007,SORGHUM,11263.05,1.0,11263.05
7805,UPPER WEST,NADOWLI,2007,SORGHUM,14301.14,1.02,14587.16
7806,UPPER WEST,WA WEST,2007,GROUNDNUT,16644.8,0.9,14980.32
7807,UPPER WEST,WA EAST,2007,GROUNDNUT,11230.09,0.86,9657.88
7808,UPPER WEST,WA MUNICIPAL,2007,GROUNDNUT,13040.7,1.12,14605.58
7809,UPPER WEST,LAWRA,2007,GROUNDNUT,13402.8,1.23,16425.13
7810,UPPER WEST,SISSALA EAST,2007,GROUNDNUT,9988.8,0.95,9529.32
7811,UPPER WEST,SISSALA WEST,2007,GROUNDNUT,5956.98,1.11,6630.12
7812,UPPER WEST,JIRAPA-LAMBUSSIE,2007,GROUNDNUT,18927.0,0.95,18018.5
7813,UPPER WEST,NADOWLI,2007,GROUNDNUT,25714.8,1.24,31886.35
7814,UPPER WEST,WA WEST,2007,COWPEA,3461.12,0.7,2422.78
7815,UPPER WEST,WA EAST,2007,COWPEA,3705.66,0.67,2482.79
7816,UPPER WEST,WA MUNICIPAL,2007,COWPEA,2347.37,1.18,2760.51
7817,UPPER WEST,LAWRA,2007,COWPEA,2281.45,0.85,1931.48
7818,UPPER WEST,SISSALA EAST,2007,COWPEA,5870.4,1.0,5865.12
7819,UPPER WEST,SISSALA WEST,2007,COWPEA,6688.82,0.82,5511.59
7820,UPPER WEST,JIRAPA-LAMBUSSIE,2007,COWPEA,12920.25,1.25,16150.31
7821,UPPER WEST,NADOWLI,2007,COWPEA,19715.2,1.25,24644.0
7822,WESTERN,SHAMA AHANTA EAST,2008,MAIZE,1099.0,1.15,1263.85
7823,WESTERN,WEST AHANTA,2008,MAIZE,1433.0,1.19,1705.27
7824,WESTERN,MPORHOR WASSA EAST,2008,MAIZE,2034.0,1.32,2684.88
7825,WESTERN,WASSA WEST,2008,MAIZE,2204.0,1.2,2644.8
7826,WESTERN,EAST NZEMA,2008,MAIZE,1550.0,1.38,2139.0
7827,WESTERN,JOMORO,2008,MAIZE,928.0,1.3,1206.4
7828,WESTERN,AMENFI EAST,2008,MAIZE,5786.0,1.39,8042.54
7829,WESTERN,AMENFI  WEST (WASSA AMENFI),2008,MAIZE,5396.0,1.4,7554.4
7830,WESTERN,AOWIN -SUAMAN,2008,MAIZE,8986.0,1.5,13479.0
7831,WESTERN,BIBIANI-ANHWIASO-BEKWAI,2008,MAIZE,5194.0,1.42,7375.48
7832,WESTERN,SEFWI-WIAWSO,2008,MAIZE,7166.0,1.49,10677.34
7833,WESTERN,BIA,2008,MAIZE,5528.0,1.53,8457.84
7834,WESTERN,JUABESO,2008,MAIZE,6836.0,1.51,10322.36
7835,WESTERN,SHAMA AHANTA EAST,2008,RICE,93.0,1.22,113.46
7836,WESTERN,WEST AHANTA,2008,RICE,96.0,1.19,114.24
7837,WESTERN,MPORHOR WASSA EAST,2008,RICE,81.0,1.2,97.2
7838,WESTERN,WASSA WEST,2008,RICE,1406.0,1.18,1659.08
7839,WESTERN,EAST NZEMA,2008,RICE,561.0,1.35,757.35
7840,WESTERN,JOMORO,2008,RICE,969.0,1.2,1162.8
7841,WESTERN,AMENFI EAST,2008,RICE,1181.0,1.21,1429.01
7842,WESTERN,AMENFI  WEST (WASSA AMENFI),2008,RICE,1263.0,1.29,1629.27
7843,WESTERN,AOWIN -SUAMAN,2008,RICE,1628.0,1.35,2197.8
7844,WESTERN,BIBIANI-ANHWIASO-BEKWAI,2008,RICE,1510.0,1.16,1751.6
7845,WESTERN,SEFWI-WIAWSO,2008,RICE,2434.0,1.27,3091.18
7846,WESTERN,BIA,2008,RICE,1757.0,1.17,2055.69
7847,WESTERN,JUABESO,2008,RICE,1904.0,1.58,3008.32
7848,WESTERN,SHAMA AHANTA EAST,2008,CASSAVA,2425.0,7.8,18915.0
7849,WESTERN,WEST AHANTA,2008,CASSAVA,4056.0,9.3,37720.8
7850,WESTERN,MPORHOR WASSA EAST,2008,CASSAVA,5620.0,10.7,60134.0
7851,WESTERN,WASSA WEST,2008,CASSAVA,4086.0,9.7,39634.2
7852,WESTERN,EAST NZEMA,2008,CASSAVA,6015.0,9.3,55939.5
7853,WESTERN,JOMORO,2008,CASSAVA,4829.0,9.7,46841.3
7854,WESTERN,AMENFI EAST,2008,CASSAVA,5400.0,9.0,48600.0
7855,WESTERN,AMENFI  WEST (WASSA AMENFI),2008,CASSAVA,3616.0,9.1,32905.6
7856,WESTERN,AOWIN -SUAMAN,2008,CASSAVA,10950.0,9.5,104025.0
7857,WESTERN,BIBIANI-ANHWIASO-BEKWAI,2008,CASSAVA,7412.0,9.3,68931.6
7858,WESTERN,SEFWI-WIAWSO,2008,CASSAVA,9942.0,10.5,104391.0
7859,WESTERN,BIA,2008,CASSAVA,3324.0,10.8,35899.2
7860,WESTERN,JUABESO,2008,CASSAVA,4996.0,10.8,53956.8
7861,WESTERN,SHAMA AHANTA EAST,2008,YAM,31.0,3.6,111.6
7862,WESTERN,WEST AHANTA,2008,YAM,32.0,3.3,105.6
7863,WESTERN,MPORHOR WASSA EAST,2008,YAM,202.0,5.6,1131.2
7864,WESTERN,WASSA WEST,2008,YAM,186.0,4.8,892.8
7865,WESTERN,EAST NZEMA,2008,YAM,32.0,3.4,108.8
7866,WESTERN,JOMORO,2008,YAM,22.0,3.2,70.4
7867,WESTERN,AMENFI EAST,2008,YAM,522.0,7.38,3852.36
7868,WESTERN,AMENFI  WEST (WASSA AMENFI),2008,YAM,577.0,6.45,3721.65
7869,WESTERN,AOWIN -SUAMAN,2008,YAM,1073.0,6.8,7296.4
7870,WESTERN,BIBIANI-ANHWIASO-BEKWAI,2008,YAM,2549.0,7.3,18607.7
7871,WESTERN,SEFWI-WIAWSO,2008,YAM,3080.0,8.68,26734.4
7872,WESTERN,BIA,2008,YAM,1753.0,10.0,17530.0
7873,WESTERN,JUABESO,2008,YAM,1921.0,10.18,19555.78
7874,CENTRAL,UPPER DENKYIRA,2008,MAIZE,9570.0,2.4,22968.0
7875,CENTRAL,TWIFO HERMAN LOWER DENKYIRA,2008,MAIZE,6281.0,2.8,17586.8
7876,CENTRAL,ASSIN SOUTH,2008,MAIZE,3924.0,1.93,7573.32
7877,CENTRAL,ASSIN NORTH,2008,MAIZE,9460.0,1.49,14104.86
7878,CENTRAL,ABURA-ASEBU-KWAMANKESE,2008,MAIZE,3974.52,1.84,7303.18
7879,CENTRAL,ASIKUMA-ODOBEN-BRAKWA,2008,MAIZE,4799.3,2.0,9574.6
7880,CENTRAL,MFANTSIMAN,2008,MAIZE,13168.65,2.4,31604.76
7881,CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,2008,MAIZE,12840.3,1.5,19260.45
